Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C),Status,Rp (ohms),Channel
0.0,0.0,0.0,0.0,0.0,0.0,4211081315000.0,bus0
0.02309308052062988,341.331325,0.26670616,1.59999212,0.0,0.0,0.0,bus1
0.12504533131917317,341.331325,0.26670616,1.59999212,0.0,0.0,4211081315000.0,bus0
0.23452571630477906,341.331325,0.26670616,1.59999212,0.0,0.0,4211081315000.0,bus1
0.353340748945872,341.331325,0.26670616,1.59999212,0.0,0.0,4211081315000.0,bus1
