Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
0.00015616814295450846,9.265712,0.05130843,0.13720845,79.8125,0.0
0.5243515491485595,9.265712,0.05130843,0.13720845,79.90625,0.0
1.0487011671066284,9.265712,0.05130843,0.13720845,79.90625,0.0
1.573056733608246,9.265712,0.05130843,0.13720845,79.90625,0.0
2.0974119504292807,8.296953,0.81852358,2.17763481,81.125,0.0
2.62176726659139,8.296953,0.81852358,2.17763481,81.125,0.0
3.1461228330930076,8.296953,0.81852358,2.17763481,81.125,0.0
3.67047830025355,8.296953,0.81852358,2.17763481,81.125,0.0
4.194833219051361,7.718822,0.81589864,2.16847944,80.625,0.0
4.719188535213471,7.718822,0.81589864,2.16847944,80.625,0.0
5.243544268608093,7.718822,0.81589864,2.16847944,80.625,0.0
5.767899584770203,7.718822,0.81589864,2.16847944,80.625,0.0
6.29225508371989,7.531321,0.81431147,2.16506144,-250.875,0.0
6.81661080121994,7.531321,0.81431147,2.16506144,-250.875,0.0
7.340998701254526,7.531321,0.81431147,2.16506144,-250.875,0.0
7.865321083863576,7.640697,0.81446408,2.16445108,77.75,0.0
8.389676201343537,7.640697,0.81446408,2.16445108,77.75,0.0
8.914057433605194,7.640697,0.81446408,2.16445108,77.75,0.0
9.438387135664621,7.9532,0.81547133,2.16713666,77.75,0.0
9.962742034594218,7.9532,0.81547133,2.16713666,77.125,0.0
10.48711661895116,7.9532,0.81547133,2.16713666,77.125,0.0
11.011452917257945,7.9532,0.81547133,2.16713666,77.125,0.0
11.53580853541692,0.718757,0.81669223,2.1699443,77.5,0.0
12.060175784428914,0.718757,0.81669223,2.1699443,77.5,0.0
12.58451896905899,0.718757,0.81669223,2.1699443,77.5,0.0
13.108873550097147,8.328203,0.81718059,2.17055466,78.53125,0.0
13.633235049247741,8.328203,0.81718059,2.17055466,78.5625,0.0
14.157584035396576,8.328203,0.81718059,2.17055466,78.5625,0.0
