Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
6.6677729288736975e-06,19.718935,0.83372382,2.42922433,102.03125,0.0
0.5243732333183289,19.718935,0.83372382,2.42922433,102.5,0.0
1.0486997524897257,19.718935,0.83372382,2.42922433,102.5,0.0
1.573052700360616,19.718935,0.83372382,2.42922433,102.5,0.0
2.0974062363306682,11.640734,0.8173332,2.39980508,105.53125,0.0
2.6217585682868956,11.640734,0.8173332,2.39980508,105.59375,0.0
3.1461116512616476,11.640734,0.8173332,2.39980508,105.59375,0.0
3.6704648534456887,10.187596,0.80573463,2.38015155,105.40625,0.0
4.194816966851552,10.187596,0.80573463,2.38015155,105.40625,0.0
4.719169652462005,10.187596,0.80573463,2.38015155,105.40625,0.0
5.243528401851654,10.187596,0.80573463,2.38015155,105.40625,0.0
5.767874852816264,9.187586,0.80930577,2.36611332,-249.46875,0.0
6.292227300008138,9.187586,0.80930577,2.36611332,-249.46875,0.0
6.816580184300741,9.187586,0.80930577,2.36611332,-249.46875,0.0
7.340932301680247,9.296962,0.81061824,2.36159668,100.34375,0.0
7.86528446674347,9.296962,0.81061824,2.36159668,100.125,0.0
8.389636917908986,9.296962,0.81061824,2.36159668,100.125,0.0
8.91398948431015,9.296962,0.81061824,2.36159668,100.125,0.0
9.438342150052389,9.968843,0.8092142,2.3606201,96.1875,0.0
9.96269423564275,9.968843,0.8092142,2.3606201,96.0625,0.0
10.487047386169433,9.968843,0.8092142,2.3606201,96.0625,0.0
11.01140010356903,9.968843,0.8092142,2.3606201,96.0625,0.0
11.535753118991853,10.468848,0.81434199,2.36318361,93.0625,0.0
12.060138916969299,10.468848,0.81434199,2.36318361,93.0625,0.0
12.584459149837494,10.468848,0.81434199,2.36318361,93.0625,0.0
13.108812300364177,11.375107,0.81708902,2.36818854,92.28125,0.0
13.633190969626108,11.375107,0.81708902,2.36818854,92.28125,0.0
14.157518486181894,11.375107,0.81708902,2.36818854,92.28125,0.0
14.68187807003657,12.250115,0.8189509,2.3713624,93.25,0.0
15.206245485941569,12.250115,0.8189509,2.3713624,93.28125,0.0
15.730582785606384,12.250115,0.8189509,2.3713624,93.28125,0.0
16.254939468701682,12.250115,0.8189509,2.3713624,93.28125,0.0
16.779296000798542,12.437617,0.81852358,2.37465833,-249.625,0.0
17.303652767340342,12.437617,0.81852358,2.37465833,-249.59375,0.0
17.82800860007604,12.437617,0.81852358,2.37465833,-249.59375,0.0
18.35237119992574,12.437617,0.81852358,2.37465833,-249.59375,0.0
18.876720933119454,0.765632,0.8192256,0.14941561,96.75,0.0
19.401076551278432,0.765632,0.8192256,0.14941561,96.75,0.0
19.92543236811956,0.765632,0.8192256,0.14941561,96.75,0.0
20.44978748559952,11.531358,0.81617335,2.37465833,97.25,0.0
20.974142833550772,11.531358,0.81617335,2.37465833,97.25,0.0
21.498498586813607,11.531358,0.81617335,2.37465833,97.25,0.0
22.022853350639345,11.531358,0.81617335,2.37465833,97.25,0.0
22.547208352883658,11.23448,0.81528819,2.37246105,97.09375,0.0
23.07156290213267,11.23448,0.81528819,2.37246105,97.09375,0.0
23.5959179520607,11.406357,0.8155629,2.37160654,96.71875,0.0
24.120272600650786,11.406357,0.8155629,2.37160654,96.75,0.0
24.64462733666102,11.406357,0.8155629,2.37160654,96.75,0.0
25.169014485677085,11.406357,0.8155629,2.37160654,96.75,0.0
25.693336586157482,11.109479,0.81528819,2.37087411,96.53125,0.0
26.217691000302633,11.109479,0.81528819,2.37087411,96.53125,0.0
26.742071203390758,11.109479,0.81528819,2.37087411,96.53125,0.0
27.2664000193278,11.218855,0.81562394,2.37014169,96.625,0.0
27.790753984451293,11.218855,0.81562394,2.37014169,96.625,0.0
28.315127968788147,11.218855,0.81562394,2.37014169,96.625,0.0
28.83946280082067,11.218855,0.81562394,2.37014169,96.625,0.0
29.363817103703816,11.359481,0.81550185,2.37124033,97.625,0.0
29.888183653354645,11.359481,0.81550185,2.37124033,97.625,0.0
30.412525367736816,11.359481,0.81550185,2.37124033,97.625,0.0
30.93687951962153,11.187605,0.8161123,2.37148447,98.09375,0.0
31.461239703496297,11.187605,0.8161123,2.37148447,98.15625,0.0
31.985587735970814,11.187605,0.8161123,2.37148447,98.15625,0.0
32.50994135141373,11.187605,0.8161123,2.37148447,98.15625,0.0
33.03429530064265,11.046979,0.8161123,2.37075204,97.78125,0.0
33.55864920218786,11.046979,0.8161123,2.37075204,97.78125,0.0
34.08300291697184,11.046979,0.8161123,2.37075204,97.78125,0.0
34.60739020109177,10.968853,0.81559342,2.36977547,98.09375,0.0
35.131711169083914,10.968853,0.81559342,2.36977547,98.09375,0.0
35.656064534187315,10.968853,0.81559342,2.36977547,98.09375,0.0
36.18044448693593,10.859477,0.81635648,2.36818854,98.1875,0.0
36.70477161804835,10.859477,0.81635648,2.36818854,98.1875,0.0
37.229125734170275,10.859477,0.81635648,2.36818854,98.1875,0.0
37.75347927014033,10.859477,0.81635648,2.36818854,98.1875,0.0
38.2778331677119,10.875102,0.81470826,2.3696534,98.0625,0.0
38.80218696991603,10.875102,0.81470826,2.3696534,98.09375,0.0
39.326539953549705,10.875102,0.81470826,2.3696534,98.09375,0.0
39.850919735431674,10.875102,0.81470826,2.3696534,98.09375,0.0
40.37524733543396,10.765726,0.8148914,2.36757818,97.9375,0.0
40.89960063695908,10.765726,0.8148914,2.36757818,97.9375,0.0
41.42397411664327,10.765726,0.8148914,2.36757818,97.9375,0.0
41.94830773671468,10.765726,0.8148914,2.36757818,97.9375,0.0
42.47266155083974,10.843852,0.81483035,2.36696782,98.0,0.0
42.99702773491541,10.843852,0.81483035,2.36696782,98.0,0.0
43.52136903603871,10.843852,0.81483035,2.36696782,98.0,0.0
44.04572233359019,10.890727,0.81434199,2.36770025,98.0625,0.0
44.570081953207655,10.890727,0.81434199,2.36770025,98.0625,0.0
45.09442902008693,10.890727,0.81434199,2.36770025,98.0625,0.0
45.61878293355306,10.859477,0.81498297,2.3679444,98.40625,0.0
46.14313598473867,10.859477,0.81498297,2.3679444,98.46875,0.0
46.667489417394,10.859477,0.81498297,2.3679444,98.46875,0.0
47.19184288581212,10.859477,0.81498297,2.3679444,98.46875,0.0
47.71619678338369,10.781351,0.81525767,2.36721197,98.75,0.0
48.240549850463864,10.781351,0.81525767,2.36721197,98.75,0.0
48.76490308443705,10.781351,0.81525767,2.36721197,98.75,0.0
49.28928281863531,10.65635,0.81483035,2.36696782,98.90625,0.0
49.8136124531428,10.65635,0.81483035,2.36696782,98.875,0.0
