Time (min),Viscosity (cp),Density (gm/cc),Dielectric constant (-),Temperature (C), Status
6.866455078125e-06,16.984534,0.82786349,2.44985442,104.46875,0.0
0.5243329008420309,16.984534,0.82786349,2.44985442,104.90625,0.0
1.0486852169036864,16.984534,0.82786349,2.44985442,104.90625,0.0
1.5730372349421182,16.984534,0.82786349,2.44985442,104.90625,0.0
2.097423017024994,16.984534,0.82786349,2.44985442,104.90625,0.0
2.6217435359954835,11.531358,0.81702798,2.42568425,107.625,0.0
3.1460968494415282,11.531358,0.81702798,2.42568425,107.625,0.0
3.670477032661438,11.531358,0.81702798,2.42568425,107.625,0.0
4.194804533322652,9.453214,0.81174758,2.40566451,106.25,0.0
4.719158101081848,9.453214,0.81174758,2.40566451,106.03125,0.0
5.2435315489768985,9.453214,0.81174758,2.40566451,106.03125,0.0
5.76786630153656,9.453214,0.81174758,2.40566451,106.03125,0.0
6.2922212680180865,9.093835,0.80958047,2.38955107,-249.5,0.0
6.816587885220845,9.093835,0.80958047,2.38955107,102.90625,0.0
7.340929933389028,9.093835,0.80958047,2.38955107,102.90625,0.0
7.865284315745035,9.546965,0.80997727,2.38173848,99.625,0.0
8.389644618829092,9.546965,0.80997727,2.38173848,99.375,0.0
8.91399245262146,9.546965,0.80997727,2.38173848,99.375,0.0
9.438346668084462,9.546965,0.80997727,2.38173848,99.375,0.0
9.9627011179924,10.17197,0.81315161,2.38173848,96.1875,0.0
10.487055218219757,10.17197,0.81315161,2.38173848,96.1875,0.0
11.011409684022267,10.17197,0.81315161,2.38173848,96.1875,0.0
11.535796884695689,11.062604,0.81553237,2.38173848,94.59375,0.0
12.060118285814921,11.062604,0.81553237,2.38173848,94.59375,0.0
12.584472417831421,11.062604,0.81553237,2.38173848,94.59375,0.0
13.10882654984792,11.062604,0.81553237,2.38173848,94.59375,0.0
13.633180701732636,11.968862,0.8173332,2.38503442,-249.6875,0.0
14.157534583409626,11.968862,0.8173332,2.38503442,-249.6875,0.0
14.681888699531555,11.968862,0.8173332,2.38503442,-249.6875,0.0
15.206242899099985,12.468867,0.8180047,2.38845242,97.1875,0.0
15.730597651004791,12.468867,0.8180047,2.38845242,97.25,0.0
16.254951584339143,12.468867,0.8180047,2.38845242,97.25,0.0
16.779331517219543,12.468867,0.8180047,2.38845242,97.25,0.0
17.303659915924072,0.828133,0.81916456,2.38906278,98.96875,0.0
17.828013666470845,0.828133,0.81916456,2.38906278,98.96875,0.0
18.352387634913125,0.828133,0.81916456,2.38906278,98.96875,0.0
18.876721783479056,11.68761,0.81528819,2.38869656,99.53125,0.0
19.40107628504435,11.68761,0.81528819,2.38869656,99.53125,0.0
19.9254425684611,11.68761,0.81528819,2.38869656,99.53125,0.0
20.4497837861379,11.68761,0.81528819,2.38869656,99.53125,0.0
20.974137918154398,11.156355,0.81550185,2.38601099,99.40625,0.0
21.498498034477233,11.156355,0.81550185,2.38601099,99.40625,0.0
22.02284605105718,11.156355,0.81550185,2.38601099,99.40625,0.0
22.54720018307368,11.031353,0.81544081,2.38503442,98.90625,0.0
23.071554215749106,11.031353,0.81544081,2.38503442,98.90625,0.0
23.595908149083456,11.031353,0.81544081,2.38503442,98.90625,0.0
24.12026210228602,11.140729,0.81495244,2.37441419,98.625,0.0
24.644616635640464,11.140729,0.81495244,2.37441419,98.625,0.0
25.16897021929423,11.140729,0.81495244,2.37441419,98.625,0.0
25.693324434757233,11.23448,0.81562394,2.37490248,98.78125,0.0
26.217678451538085,11.23448,0.81562394,2.37490248,98.8125,0.0
26.742032635211945,11.23448,0.81562394,2.37490248,98.8125,0.0
27.266386449337006,11.23448,0.81562394,2.37490248,98.8125,0.0
27.790740752220152,11.20323,0.81681432,0.14929354,99.34375,0.0
28.315126935640972,11.20323,0.81681432,0.14929354,99.34375,0.0
28.83944841623306,11.187605,0.81614282,0.14917146,99.78125,0.0
29.363802218437193,11.187605,0.81614282,0.14917146,99.875,0.0
29.888182385762533,11.187605,0.81614282,0.14917146,99.875,0.0
30.412510017553966,11.187605,0.81614282,0.14917146,99.875,0.0
30.93687046766281,11.125104,0.81513558,2.37404798,100.4375,0.0
31.461237816015878,11.125104,0.81513558,2.37404798,100.4375,0.0
31.985572401682536,11.125104,0.81513558,2.37404798,100.4375,0.0
32.50992623567581,11.125104,0.81513558,2.37404798,100.4375,0.0
33.03428000211716,10.921977,0.81577655,2.3739259,100.5625,0.0
33.558634249369305,10.921977,0.81577655,2.3739259,100.5625,0.0
34.08298825025558,10.921977,0.81577655,2.3739259,100.5625,0.0
34.60734196901321,10.812601,0.81452513,2.37368176,100.34375,0.0
35.13169601758321,10.812601,0.81452513,2.37368176,100.34375,0.0
35.656050034364064,10.812601,0.81452513,2.37368176,100.34375,0.0
36.180403550465904,10.812601,0.81452513,2.37368176,100.34375,0.0
36.704757916927335,10.843852,0.81534924,2.37124033,100.3125,0.0
37.22911166747411,10.843852,0.81534924,2.37124033,100.3125,0.0
37.75346525112788,10.843852,0.81534924,2.37124033,100.3125,0.0
38.27781973282496,10.953228,0.81397572,2.37929705,100.21875,0.0
38.80217358271281,10.953228,0.81397572,2.37929705,100.21875,0.0
39.32652476628621,10.953228,0.81397572,2.37929705,100.21875,0.0
39.8508748849233,10.953228,0.81397572,2.37929705,100.21875,0.0
40.3752250512441,10.953228,0.81409781,2.3795412,100.375,0.0
40.8995753010114,10.953228,0.81409781,2.3795412,100.375,0.0
41.42395858367284,10.953228,0.81409781,2.3795412,100.375,0.0
41.94827705224355,10.968853,0.81388415,2.37929705,100.6875,0.0
42.47262788613637,10.968853,0.81388415,2.37929705,100.6875,0.0
42.9970050851504,10.968853,0.81388415,2.37929705,100.6875,0.0
43.52132964928945,10.906352,0.8146167,2.38002948,100.90625,0.0
44.04568113485972,10.906352,0.8146167,2.38002948,100.90625,0.0
44.570051817099255,10.906352,0.8146167,2.38002948,100.90625,0.0
45.09438386758168,10.875102,0.81348736,2.37844255,100.96875,0.0
45.618735484282176,10.875102,0.81348736,2.37844255,100.96875,0.0
46.1431002497673,10.875102,0.81348736,2.37844255,100.96875,0.0
46.66743901570638,10.796976,0.81357893,2.37905291,100.96875,0.0
47.19179145097733,10.796976,0.81357893,2.37905291,100.96875,0.0
47.71614963610967,10.796976,0.81357893,2.37905291,100.96875,0.0
48.240494918823245,10.703225,0.8151661,2.37844255,100.875,0.0
48.7648472348849,10.703225,0.8151661,2.37844255,100.875,0.0
49.28919933239619,10.703225,0.8151661,2.37844255,100.875,0.0
49.81355206569036,10.781351,0.81315161,2.37856462,100.65625,0.0
50.33790401617686,10.781351,0.81315161,2.37856462,100.65625,0.0
50.862256399790446,10.781351,0.81315161,2.37856462,100.65625,0.0
51.38660875161489,10.781351,0.81315161,2.37856462,100.65625,0.0
51.91096148490906,10.703225,0.81440304,2.37856462,100.59375,0.0
52.43531380097071,10.703225,0.81440304,2.37856462,100.59375,0.0
52.959666550159454,10.703225,0.81440304,2.37856462,100.59375,0.0
53.48401943445206,10.765726,0.8142199,2.37880877,100.875,0.0
54.00837184985479,10.765726,0.8142199,2.37880877,100.875,0.0
54.53275726636251,10.765726,0.8142199,2.37880877,100.875,0.0
55.057077117760976,10.765726,0.8142199,2.37880877,100.875,0.0
55.58143028418223,10.765726,0.81483035,2.3786867,101.1875,0.0
56.10580916802088,10.765726,0.81483035,2.3786867,101.1875,0.0
56.6301359852155,10.765726,0.81483035,2.3786867,101.1875,0.0
57.154488432407376,10.781351,0.8139452,2.37844255,101.40625,0.0
57.67886100212733,10.781351,0.8139452,2.37844255,101.40625,0.0
58.20319466590881,10.781351,0.8139452,2.37844255,101.40625,0.0
58.727547534306844,10.781351,0.8139452,2.37844255,101.40625,0.0
59.25191296736399,10.6876,0.81437252,2.37783219,101.65625,0.0
59.77625303268432,10.6876,0.81437252,2.37783219,101.65625,0.0
